source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,bp_rp,phot_g_mean_mag,ruwe,feh_pr,rv,rv_err,feh,feh_err,dis,note
2865256628300500352,355.27554,27.748335,0.024,0.039,1.217,0.037,-2.855,0.026,1.165479,15.819355,1.025,-3.39,-197.3,2.1,-3.42,0.12,20.488916,GRACES
2826426202636892544,353.79944,21.264807,0.125,0.1,1.144,0.089,-3.244,0.073,1.020512,17.631329,1.028,-3.72,-195.2,1.9,-3.41,0.19,17.404165,OSIRIS \ UVES
2865368434887899008,355.1327,27.98196,0.055,0.032,1.236,0.029,-2.804,0.022,1.25919,15.392889,1.026,-3.14,-194.4,2,-3.45,0.11,20.52543,GRACES \ OSIRIS
2828159930612041344,354.6358,23.794123,0.072,0.1,1.266,0.098,-3.054,0.069,0.976109,17.487429,1.071,-3.3,-193.5,1.6,-3.38,0.2,17.891714,OSIRIS \ UVES
2827849249857638656,355.26712,22.967741,-0.04,0.099,1.271,0.091,-3.028,0.073,0.968781,17.598883,0.987,-3.14,-191.1,2.6,-3.34,0.19,19.712019,OSIRIS \ UVES
2866151046649496832,354.96152,28.465961,0.004,0.024,1.231,0.022,-2.747,0.016,1.588672,14.280561,1.045,,-190.6,0.9,-3.48,0.11,19.76264,UVES (NEW)
2868052548930201984,354.77017,30.250984,0.01,0.041,1.294,0.043,-2.648,0.029,1.181473,15.698723,1.007,-3.38,-186.7,2.2,-3.42,0.12,21.236216,GRACES
2865251577418971392,355.32242,27.599358,0.024,0.02,1.222,0.018,-2.785,0.014,1.375493,14.1907,1.008,-3.26,-183.6,0.3,-3.55,0.26,20.662903,LAMOST \ OSIRIS \ UVES
2852197625617728384,355.40564,24.283298,-0.047,0.1,1.196,0.082,-2.907,0.063,1.012848,17.284725,1.061,-3.79,-178.8,1.2,-3.39,0.18,21.46897,OSIRIS \ UVES
2605574384366803968,346.20322,-10.696532,0.019,0.048,0.261,0.049,-4.855,0.044,1.059283,15.885856,0.987,,-133.54,0.39,-3.41,0.18,16.073679,UVES (NEW)
1912706716827846528,352.06305,35.671246,0.653,0.305,0.863,0.319,-1.808,0.265,0.862045,19.541965,1.005,,,,,,,
